Input.num,Translation
315,"Das Gesicht des alten Zauberers zeigte Entsetzen, er öffnete seinen Mund um zu sprechen -"
318,Was ist der Umhang?
319,"Harry hob die Hand und wischte sich über seine Wangen, während im Büro das Schrillen der gläsernen Gegestände, das er durch seinen letzten Schrei ausgelöst hatte, ausklang."
321,Und wie soll das denn jemand wissen? sagte Harry
342,"Der Auferstehungsstein ist verloren gegangen seit jahrhunderten, Harry"" sagte der Schulleiter ruhig."
348,Dumbledore starrte Harry an.
353,"""Danke,"" sagte Harry höflich."
356,Dumbledore schien in sich selbst einen Kampf auszutragen.
360,"""Gute Frage,"" sagte Harry, nach ein paar innerliche Debate wie man vorgeht."
371,"Tack, knack, knister..."
372,"Albus Percival Wulfric Brian Dumbledore just stand idiotisch mit offenem Mund da, und starrte Harry an"
375,"Der alte Zauberer sagte"" nein"" und schüttelte seinen Kopf"
379,Das Gesicht des alten Zauberers war vor Zorn und Sorge angespannt.
380,",,Voldemort stahl das Buch, durch welches er das Geheimnis herausbekam; als ich danach suchte war es nicht dort."
387,"""Du würdest keinen Ritual nehmen, der Menschenopferung braucht."""
390,"Du bist derjenige, der denkt, der Tod sei beeindruckend und dass jederman sterben sollte!"""
392,"Seine Füße begannen nun wieder, sein kurioses Büro zu durchschreiten."
393,"Ich habe keine Ahnung, was ich sagen soll"
395,",,Dass ich von dir so falsch verstanden werde..."
397,",,Du willst einfach nicht, dass irgendwer unsterblich ist"", sagte Harry mit merkbarer Ironie."
399,Der alte Zauberer nickte.
401,"Seine Hand, ein wenig runzlig vom Zeichen der Zeit und doch noch stark, platzierte die Kristallkugel wieder fest in ihrem Halter."
405,"Sagte Harry, ohne überhaupt den Versuch zu begehen, die Ungläubigkeit in seiner Stimme zu überspielen."
407,",,Ich bin nicht perfekt, Harry, aber ich glaube, ich habe den Tod als einen Teil von mir selbst akzeptiert."""
408,",,Aha"", sagte Harry."
416,"""Nein Harry"" der alte zauberer sagte."
423,Mit nur ein bisschen Nachhilfe könnte dieser selbe Teil von dir Unschuldige ermorden und es als Freundschaft bezeichnen.
438,Harry konnte sich fast nicht davon zurückhalten es laut zu sagen.
440,",,Nun werde ich deine ursprüngliche Frage beantworten."
449,",,Ich denke ich verstehe nun"", sagte er ruhig."
450,",,Oh?"" sagte Harry. ,,Was verstehst du?"""
451,",,Voldemort"", sagte der alte Zauberer."
454,"Ich habe dich gefragt, warum er zu einem Monster wurde und du konntest mir keinen Grund sagen."
457,",,Verrate mir, Harry"", sagte der alte Zauberer, ,,wirst du zu einem Monster werden?"""
458,",,nein"", sagte der Junge mit eiserner Gewissheit in der Stimme."
461,"Das Universum ist weder bösartig, noch barmherzig, es ist einfach gleichgültig."
463,Aber das müssen sie nicht! Uns kümmert es!
464,In der Welt gibt es Licht und es ist auch in uns!?
465,",,Ich frage mich, was aus dir werden wird, Harry,"" sagte der alte Zauberer."
