Input.num,Translation
62,"""Harry, der Verteidigungsprofessor hat mich gebeten, die dunkelste aller Kreaturen durch die Tore von Hogwarts zu lassen."
68,Harry starrte den Schulleiter mit offenem Mund an.
68,Harry starrte den Schulleiter mit offenem Mund an.
69,"Er war so schockiert, dass er sich nicht mal geschmeichelt fühlen konnte."
69,"Er war so schockiert, dass er sich nicht einmal geschmeichelt fühlte."
70,",,Ich??"" sagte Harry."
70,"""Ich?"", sagte Harry."
72,""" Ich gebe mein Bestes meine Feind zu antizipieren um ihre bösen Geister und üblen Gedanken zu umfassen."
72,"""Ich versuche mein Bestes, um meine Feinde vorauszusehen, ihre bösen Gedanken zu erfassen und ihre bösen Gedanken vorherzusagen."
73,"Aber ich hätte niemals darüber nachgedacht den Knochen eines Hufflepuff's in eine Waffe zu schnitzen."""
73,"Aber ich wäre nie auf die Idee gekommen, die Knochen eines Hufflepuffs in Waffen zu verwandeln."""
74,Würde Harry das je hinter sich lassen können?
74,Wird Harry das jemals verwinden?
76,"""Ich habe nicht gesagt das du böse wärst,"" entgegnete Dumbledore ernst. "
76,"""Ich habe nicht gesagt, dass du böse bist"", sagte Dumbledore ernst."
81,"""Warte,"" sagte Harry und stolperte etwas benommen zum Stuhl gegenüber des Schulleiters Tisch und setzte sich. "
81,"""Moment"", sagte Harry und stapfte etwas benommen zu dem Stuhl vor dem Schreibtisch des Schulleiters und setzte sich."
83,Dumbledore frage ihn Professor Quirrell auszutricksen. 
83,"Dumbledore hat ihn gebeten, Professor Quirrell zu überlisten."
87,"""Schulleiter"", sagte Harry, ""wenn Professor Quirrell etwas vorhat, bin ich mir nicht sicher, ob ich ihn überlisten kann."""
87,"""Schulleiter"", sagte Harry, ""wenn Professor Quirrell etwas vorhat, bin ich mir nicht sicher, ob ich ihn überlisten kann."
89,Der alte Zauberer schüttelte seinen Kopf. Er wirkte trotz seines lächelns sehr ernst . 
89,"Der alte Zauberer schüttelte den Kopf und schaffte es, trotz seines Lächelns sehr ernst zu wirken."
90,",,Du unterschätzt dich selbst."""
90,"""Du unterschätzt dich selbst."""
91,"Das war das erste Mal, dass jemand diese Worte zu Harry gesagt hatte."
91,"Das war das erste Mal, dass jemand so etwas zu Harry gesagt hatte."
96,Wie viel weiß er...?
96,Wie viel weiß er...?
97,"Der Schulleiter hatte Harry in den Fängen seiner mysteriösen, dunklen Seite gesehen; so tief wie Harry jemals in ihr versunken war."
97,"Der Schulleiter hatte Harry im Griff seiner geheimnisvollen dunklen Seite gesehen, so tief, wie Harry jemals in sie versunken war."
100,"Und Dumbledore hatte geschlussfolgert, dass sein zahmer kleiner Held eine gerissene Herausforderungen für seinen schicksalhaften Gegener, den Dunklen Lord, sei."
100,"Und Dumbledore war zu dem Schluss gekommen, dass sein Lieblingsheld über die gleiche Gerissenheit verfügte wie sein auserkorener Feind, der Dunkle Lord."
102,"Genug Gerissenheit aufzubringen, um Professor Quirrel ebenbürtig zu sein, stellt eine ganz andere Art der Probleme dar."
102,"Genügend Gerissenheit, um es mit Professor Quirrell aufzunehmen, wäre ein ganz anderes Problem."
105,"""Erzähl mir,"" sagte Harry, ""alles darüber wie der Dementor hier her gebracht wurde und wie er bewacht wird."""
105,"""Erzählen Sie mir"", sagte Harry, ""alles darüber, wie der Dementor hereingebracht werden soll und wie er bewacht werden soll."""
106,Dumbledores Augenbrauen erhoben sich für einen Moment und dann fing der alte Zauberer an zu sprechen.
106,"Dumbledores Augenbrauen hoben sich einen Moment lang, dann begann der alte Zauberer zu sprechen."
108,"Dumbledore würde sie am Rende des Geländes treffen und wird derjenige sein, der die Dementoren durch die Bereiche von Hogwarts streifen lassen würde -"
108,"Am Rande des Geländes wurden sie von Dumbledore erwartet, der den Dementor durch die Hogwarts-Schutzmauer schickte."
112,Dumbledore würde mit seinem Patronus am Käfig des Dementoren warten.
112,Dumbledore würde mit seinem Patronus beim Käfig des Dementors warten.
115,„Warum warten nur Sie neben dem Dementor?“ fragte Harry.
115,"""Warum wartest du nur bei dem Dementor?"", fragte Harry."
116,",,Ich mein, sollten da nicht du und noch ein Auror sein -"""
116,"""Ich meine, solltest nicht du und ein Auror -"""
118,",,So konnten der wiederholten Dementorenaussetzung nicht standhalten und ich entsende jedes Mal meinen Patronus."""
118,"""Sie konnten der wiederholten Einwirkung des Dementors nicht standhalten, jedes Mal, wenn ich meinen Patronus auflöste."""
120,"Wie Harry es auch betrachte und durchstorcherte, er konnte keine Fehler in der sicheren Ausführung sehen."
120,"Harry stocherte herum, aber er konnte keine Lücke in der Sicherung entdecken."
121,"Und so nahm Harry einen tiefen Atemzug, sank weiter in seinen Stuhl, schloss die Augen und erinnerte sich:"
121,"Also holte Harry tief Luft, sank weiter in den Stuhl, schloss die Augen und erinnerte sich:"
122,"""Das wären also ... 5 Punkte?"
122,"""Und das wären dann... fünf Punkte?"
123,"Nein, lass uns für die Widerworte von Ravenclaw 10 Punkte machen."""
123,"Nein, lasst uns zehn Punkte von Ravenclaw für Backchat ausgeben."""
124,"Die Kälte kam nun langsamer, viel zögerlicher; Harry hatte seine dunkle Seite in letzter Zeit nicht herbeigeschworen..."
124,"Die Kälte kam jetzt langsamer, widerwilliger, Harry hatte in letzter Zeit nicht viel von seiner dunklen Seite abgerufen..."
126,Und dann dachte er an den Dementoren.
126,Und dann dachte er an den Dementor.
129,"Die Kälte in seiner Stimme war deutlich, denn das war es, was Dumbledore wollte und erwartete."
129,"Die Kälte in seiner Stimme war klar, denn das war es, was Dumbledore wollte und erwartete."
130,"""Eine große, auffallende Bedrohung, letzten Endes aber überschaubar und leicht zu beherrschen."
130,"""Eine große, auffällige Bedrohung, aber letztlich überschaubar und leicht abzuwehren."
132,Dumbledore starrte Harry einen Moment lang an und nickte dann langsam.
132,Dumbledore starrte Harry einen Moment lang an und nickte dann langsam.
136,"""Was??"" sagte Harry leicht verstimmt, das Blut immernoch in seinen Adern stocken. "
136,"""Was?"", sagte Harry mit einem Anflug von Verärgerung, da ihm die Kälte noch im Blut lag."
139,In seiner Stimme klang ein merkbarer Schmerz mit.
139,In seiner Stimme lag ein Hauch von Schmerz.
140,Warum würde sich jemand bewusst zu einem Monster machen?
140,"""Warum sollte sich jemand absichtlich zu einem Monster machen?"
141,Warum Böses tun um des Bösen willen?
141,Warum Böses tun um des Bösen willen?
143,"Schnurren, bzzzt, klick; klingt, puff, klatsch..."
143,"Zirpen, bzzzt, tick; ding, puff, platsch..."
146,",,Sollte ich den Dunklen Lord auf irgendeine magische Art verstehen können weil ich hier der Held bin, oder so?"""
146,"""Soll ich den Dunklen Lord auf magische Weise verstehen, weil ich der Held bin, oder was?"""
151,"Und ihn, ihn besiegte ich am Ende."
151,Und ihn habe ich am Ende besiegt.
157,Warum hat er es getan?
157,Warum hat er das getan?
158,"Er war noch nie mein bestimmter Feind, aber deiner, wenn du überhaupt eine Ahnung hast, Harry, sag es mir! Warum??"""
158,"Er war nie mein auserkorener Feind, sondern deiner, also wenn du irgendeine Vermutung hast, Harry, dann sag sie mir bitte! Warum?"""
159,Harry starrte auf seine Hände herab.
159,Harry starrte auf seine Hände hinunter.
160,In Wahrheit hatte sich Harry noch nicht über den Dunklen Lord informiert und gerade hatte er nicht die geringste Idee. 
160,"Die Wahrheit war, dass Harry noch nichts über den Dunklen Lord gelesen hatte, und im Moment hatte er nicht die geringste Ahnung davon."
162,",,Vielleicht zu viele dunkle Rituale?"""
162,"""Vielleicht zu viele dunkle Rituale?"
165,"Da muss doch mehr dahinter stecken als nur das!"""
165,"Da muss doch noch mehr dahinterstecken!"""
168,Der Dunkle Lord erscheint mir nicht so sehr wie ein dunkler Spiegel; so gar nicht.
168,"Der dunkle Herrscher scheint mir nicht gerade ein dunkler Spiegel zu sein, ganz und gar nicht."
170,",,Hast du keine Weisheit zu teilen?"" sagte Dumbledore."
170,"""Hast du keine Weisheit zu teilen?"", fragte Dumbledore."
171,Da war fast Bitten inder Stimme des altens Zauberers.
171,"In der Stimme des alten Zauberers lag ein Flehen, fast ein Betteln."
172,"Böses geschieht einfach, dachte Harry, es bedeutet nichts und lehrt uns nichts, außer, dass wir selbst nicht böse werden sollen."
172,"Das Böse passiert, dachte Harry, es bedeutet nichts und lehrt uns nichts, außer dass wir nicht böse sein sollen?"
174,"hinter den Übeln dieser Welt gibt es kein Schicksal; wäre Hitler wie gewünscht in die Architekturschule aufgenommen worden, die ganze Geschichte Europas wäre anders verlaufen; Wenn wir in einem Universum leben würden, in dem schreckliche Dinge nur aus guten Gründen passieren dürften, würden sie einfach nicht passieren."
174,"Es gibt kein Schicksal, das hinter den Übeln dieser Welt steht; wenn Hitler, wie er es wollte, zur Architekturschule zugelassen worden wäre, wäre die ganze Geschichte Europas anders verlaufen; wenn wir in einem Universum leben würden, in dem schreckliche Dinge nur aus guten Gründen geschehen dürfen, würden sie gar nicht erst geschehen."
175,"Und offensichtlich war nichts davon das, was der Schulleiter hören wollte."
175,"Und nichts davon war offensichtlich das, was der Schulleiter hören wollte."
177,"Nun, es war nicht schwer, weise zu klingen."
177,"Nun, weise zu klingen war nicht schwer."
179,Du lässt einfach mit Hilfe deines bereits gespeicherten Wissen und dem pattern-matching deines Gehirns das Klischee vervollständigen.
179,"Sie überlassen es einfach der Software Ihres Gehirns, das Klischee zu vervollständigen, indem Sie die zuvor gespeicherte tiefe Weisheit nutzen."
180,",,Schulleiter"", sagte Harry würdevoll, ,,lieber lasse ich mich nicht durch meine Feinde definieren."""
180,"""Schulleiter"", sagte Harry feierlich, ""ich möchte mich nicht durch meine Feinde definieren."""
181,In mitten dieses ganzen Summen und tickents war trotzdem eine Art von Ruhe. 
181,Irgendwie herrschte sogar inmitten all des Surren und Tickens eine Art Stille.
182,Das kam doch weiser rüber als Harry es gedacht hatte. 
182,"Das war ein bisschen weiser rübergekommen, als Harry beabsichtigt hatte."
184,"""Ich wünsche mir wirklich ... das ich über meine Freunde identifiziert werden würde."""
184,"""Ich wünschte, ich hätte mich von meinen Freunden definieren lassen können."""
185,Der Schmerz in seiner Stimme wurde deutlicher. 
185,Der Schmerz in seiner Stimme war tiefer geworden.
188,"Ich weiß, dass immer die Rätsel in jeder Generation die Wissenschaftler ausmachen."""
188,"Ich weiß, dass es immer, in jeder Generation, das Rätsel ist, das den Wissenschaftler ausmacht."
189,"„Du verurteilst mein Haus zu einem schrecklichen Schicksal, Harry“, sagte der Schulleiter."
189,"""Es ist ein furchtbares Schicksal, zu dem du mein Haus verdammst, Harry"", sagte der Schulleiter."
192,"Harry starrte auf seine eigenen Hände, wie sie in seinem Schoss lagen. "
192,"Harry starrte auf seine eigenen Hände, die in seinem Schoß lagen."
195,",,Ich hätte merken müssen, dass es ein Slytherinschlüssel sein würde."
195,"""Ich hätte wissen müssen, dass das der Schlüssel eines Slytherins ist."
197,",,Und du, Harry"", sagte der Schulleiter, ,,du nennst dich einen Wissenschaftler??"""
197,"""Und du, Harry"", sagte der Schulleiter, ""du nennst dich einen Wissenschaftler?"""
198,Seine Stimme war mit Überraschung und leichter Ablehnung belegt. 
198,In seiner Stimme klangen Überraschung und leichte Missbilligung mit.
200,"Er hatte gehofft, dass Dumbledore für Muggeldinge mehr übrig hätte."
200,"Er hatte gehofft, Dumbledore würde sich für Muggelsachen interessieren."
202,",,Aber es scheint seltsam, sich von dieser Sache so definieren zu lassen."
202,"""Aber es scheint eine seltsame Sache zu sein, über die man sich definiert."
207,"Ist es Wissenschaft, die macht, dass dir etwas an Hermine Granger liegt?"
207,"Ist es die Wissenschaft, die Sie für Hermine Granger begeistern kann?"
208,"Willst du dich zur Wissenschaft wenden, wenn du versuchst, Wärme in Draco Malfoys Herz zu entfachen?"
208,"Wird es die Wissenschaft sein, der du dich zuwendest, wenn du versuchst, Wärme in Draco Malfoys Herz zu entfachen?"""
209,"Weißt du, das traurige ist, dass du wahrscheinlich denkst, du hättest ein unglaublich weises Totschlagargument hervorgebracht."
209,"Wissen Sie, das Traurige ist, dass Sie wahrscheinlich denken, Sie hätten gerade ein unglaublich kluges Totschlagargument vorgebracht."
210,"Nun, wie formuliere ich meine Antwort so, dass sie auch unglaublich weise klingt"
210,"Nun, wie formuliert man die Erwiderung so, dass sie auch noch unglaublich weise klingt..."
212,Der Schulleiter erhob seine Augenbrauen.
212,Die Augenbrauen des Schulleiters hoben sich.
215,"Der alte Magier klang traurig, als er das sagte."
215,"Der alte Zauberer klang traurig, als er das sagte."
217,"Nur um alte, zu sehr von sich überzeugte Zauberer zu beeindrucken, dachte Harry."
217,"Nur um alte Zauberer zu beeindrucken, die zu sehr von sich selbst beeindruckt sind, dachte Harry."
220,"Der Schulleiter nickte ernst und sagte, ""In der Tat."""
220,"Der Schulleiter nickte ernst und sagte: ""In der Tat""."
222,"Naja, dann verliebe ich mich mal besser in etwas was mir hilft, den dunklen Lord zu besiegen. "
222,"Dann gehe ich besser los und liebe etwas, das mir helfen wird, den Dunklen Lord zu besiegen."
223,"Und das nächste Mal, wenn du mich um Rat fragst, gebe ich dir einfach nur eine Umarmung -"
223,"Und wenn du mich das nächste Mal um Rat fragst, umarme ich dich einfach -"
224,"„Heute hast Du mir viel geholfen, Harry,“ sagte der Schulleiter."
224,"""Heute hast du mir sehr geholfen, Harry"", sagte der Schulleiter."
225,",,Und deshalb ist da noch eine letzte Sache, die ich diesen jungen Mann gern fragen würde."""
225,"""Und so gibt es noch eine letzte Sache, die ich den jungen Mann fragen möchte."""
226,Großartig.
226,Großartig.
228,"""Äh,"" sagte Harry, ""Entschuldige, ich musste den Dunklen Zauberer unterstützen."""
228,"""Äh"", sagte Harry, ""tut mir leid, da muss ich den dunklen Zauberern recht geben."""
231,"""Der Tod ist schlecht"", sagte Harry und verwies Weisheit für eine klare Kommunikation"
231,"""Der Tod ist schlecht"", sagte Harry und ließ die Weisheit zugunsten einer klaren Kommunikation beiseite."
235,"Der Schulleiter starrte ihn an, als ob er sich gerade in eine Katze verwandelt hätte"
235,"Der Schulleiter starrte ihn an, als hätte er sich gerade in eine Katze verwandelt."
241,"""Das klingt nicht gerade gerade so als hättest du einen starken Willen zu leben, Schulleiter!"""
241,"""Das klingt nicht so, als hätten Sie einen besonders starken Lebenswillen, Herr Direktor!"""
244,Dunkle Magier sind nicht erpicht darauf zu leben.
244,Dunkle Zauberer sind nicht erpicht darauf zu leben.
245,Sie fürchten den Tod.
245,Sie fürchten den Tod.
251,Morgen möchte ich immer noch einen weiteren Tag leben.
251,Morgen werde ich noch einen weiteren Tag leben wollen.
252,"Daraus folgt, dass ich für immer Leben möchte, beweis durch Induktion über die postiven natürlichen Zahlen. "
252,"Deshalb will ich ewig leben, Beweis durch Induktion über die positiven ganzen Zahlen."
257,Die zwei Kulturen starrten sich über einen tiefen Abgrund von Inkommensurabilität an.
257,Die beiden Kulturen starrten sich über eine riesige Kluft der Inkommensurabilität hinweg an.
259,",,Ich habe so einige Dinge gesehen und getan und von zu vielen Wünsche ich, sie niemals gesehen oder getan zu haben."
259,"""Ich habe sehr viele Dinge gesehen und getan, von denen ich wünschte, ich hätte sie nie gesehen oder getan."
261,"Aber ich wünsche mir nicht, so lange zu leben, dass es das irgendwann tut."
261,"Aber ich möchte nicht so lange leben, bis es soweit ist!"
263,Harry nahm einen tiefen Atemzug.
263,Harry holte tief Luft.
269,"Wenn ich diese Dinge nicht tun würde, dann weil ich etwas besseres gefunden habe."""
269,"Wenn ich diese Dinge nicht tue, dann deshalb, weil ich etwas Besseres gefunden habe."
270,Dumbledore seufzte.
270,Dumbledore seufzte.
273,Aber zweihundert Jahre wären doch zuviel des Guten.
273,"Aber zweihundert Jahre wären einfach zu viel des Guten""."
280,"""Oh!"" sagte Harry in plötzlicher Erkenntnis."
280,"""Oh!"", sagte Harry in plötzlicher Erkenntnis."
282,"Ich hatte den Eindruck, Zauberer hätten keine Religion?"""
282,"Ich hatte den Eindruck, dass Zauberer keine Religion haben?"""
283,Tüt. Biep. Rums.
283,Hupen. Piepsen. Aufprall.
284,"""Wie kannst du das nicht glauben??"", fragte der Schulleiter völlig verblüfft."
284,"""Wie können Sie das nicht glauben?"", fragte der Schulleiter und sah völlig verblüfft aus."
290,Das ist eine der alberndsten Ideen die ich in hundertundzehn Jahren gehört habe!
290,"Das ist eine der dümmsten Ideen, die ich in den letzten hundertzehn Jahren gehört habe!"
296,"Aber als erstes, Schulleiter, lass mich dir eine kleine Geschichte erzählen."""
296,"Aber zuerst, Herr Direktor, möchte ich Ihnen eine kleine Geschichte erzählen."""
297,Harrys Stimme zitterte.
297,Harrys Stimme zitterte.
299,Ich habe keine Gespenster erwartet.
299,Ich hatte nicht mit Geistern gerechnet.
300,"Und als ich sie sah, Schulleiter, da tat ich etwas wirklich dummes."
300,"Als ich sie sah, Herr Direktor, habe ich etwas wirklich Dummes getan."
302,"Ich, ich dachte es gibt ein leben nach dem tod, ich dachte niemand wäre jemals wirklich gestorben, ich dachte dass es jedem den die menschliche spezies jemals verloren hat wirklich gut geht, ich dachte zauberer könnten mit leuten sprechen die gestorben sind, dass es nur den richtigen zauber brauchte um sie zu beschwören, dass zauberer das tun könnten, ich dachte ich könnte meine eltern treffen die für mich gestorben sind, und sag ihnen dass ich von ihrem opfer gehört habe und dass ich angefangen hatte sie meine mutter und meinen vater zu nennen -"""
302,"Ich dachte, es gäbe ein Leben nach dem Tod, ich dachte, niemand wäre jemals wirklich gestorben, ich dachte, dass es allen, die die menschliche Spezies jemals verloren hatte, doch gut ging, ich dachte, dass Zauberer mit den Verstorbenen sprechen könnten, dass man nur den richtigen Zauberspruch bräuchte, um sie herbeizurufen, dass Zauberer das tun könnten, ich dachte, ich könnte meine Eltern treffen, die für mich gestorben sind, und ihnen sagen, dass ich von ihrem Opfer gehört habe und dass ich angefangen habe, sie meine Mutter und meinen Vater zu nennen -"""
303,"„Harry,“ flüsterte Dumbledore."
303,"""Harry"", flüsterte Dumbledore."
305,Er tat einen Schritt näher durch das Büro -
305,Er ging einen Schritt näher durch das Büro -
308,Ich hätte es wissen sollen ohne fragen zu müssen!
308,"Ich hätte es wissen müssen, ohne überhaupt zu fragen!"
309,Ich hätte es nicht einmal für dreißig Sekunden glauben sollen!
309,Ich hätte es nicht einmal dreißig Sekunden lang glauben dürfen!
312,"Und ich hatte schon wahrgenommen, dass die Leute sich in der Zaubererwelt nicht so verhalten!"
312,"Und ich hatte bereits gesehen, dass sich die Menschen in der Zaubererwelt nicht so verhielten!"
315,"Das Gesicht des alten Zauberers zeigte Entsetzen, er öffnete seinen Mund um zu sprechen -"
315,"Das Gesicht des alten Zauberers war entsetzt, er öffnete den Mund, um zu sprechen -"
316,"""Dann erzähl es mir, Schulleiter! Erzähl mir von den Beweisen!"
316,"""Also sagen Sie es mir, Herr Direktor! Erzählen Sie mir von den Beweisen!"
318,Was ist der Umhang?
318,"Was ist der Schleier?"""
319,"Harry hob die Hand und wischte sich über seine Wangen, während im Büro das Schrillen der gläsernen Gegestände, das er durch seinen letzten Schrei ausgelöst hatte, ausklang."
319,"Harry griff nach oben und wischte sich über die Wangen, während die Glasscheiben des Büros von seinem letzten Schrei aufhörten zu vibrieren."
321,Und wie soll das denn jemand wissen? sagte Harry
321,"""Und woher weiß man das?"", fragte Harry."
327,"""Harry..."", sagte der Schulleiter, wobei er ziemlich besorgt dreinschaute."
327,"""Harry..."", sagte der Schulleiter und sah langsam ziemlich besorgt aus."
332,"Der Stein der Auferstehung war einer der drei Heiligtümer des Todes, so wie Harrys Umhang."
332,"Der Stein der Auferstehung war einer der drei legendären Heiligtümer des Todes, verwandt mit Harrys Umhang."
337,"""Ja?"", sagte der Schulleiter widerstrebend."
337,"""Ja?"", sagte der Schulleiter zögernd."
342,"Der Auferstehungsstein ist verloren gegangen seit jahrhunderten, Harry"" sagte der Schulleiter ruhig."
342,"""Der Stein der Auferstehung ist seit Jahrhunderten verschollen, Harry"", sagte der Schulleiter leise."
348,Dumbledore starrte Harry an.
348,Dumbledore starrte Harry an.
353,"""Danke,"" sagte Harry höflich."
353,"""Danke"", sagte Harry höflich."
356,Dumbledore schien in sich selbst einen Kampf auszutragen.
356,Dumbledore schien einen Kampf mit sich selbst zu führen.
360,"""Gute Frage,"" sagte Harry, nach ein paar innerliche Debate wie man vorgeht."
360,"""Gute Frage"", sagte Harry, nachdem er innerlich darüber nachgedacht hatte, wie er weiter vorgehen sollte."
363,"Harry war plötzlich alles andere als sicher, dass er eine Erklärung für das suchte, was wirklich passiert war."
363,"Harry war sich plötzlich nicht mehr sicher, dass er eine Erklärung für etwas suchte, das tatsächlich passiert war."
369,"Du suchst das Geheimnis der Unsterblichkeit des Dunklen Lords, damit du es für dich selbst nutzen kannst!"
369,"Du suchst das Geheimnis der Unsterblichkeit des Dunklen Lords, um es für dich zu nutzen!"""
370,"""Falsch! Ich suche nach dem Geheimnis der Unsterblichkeit des Dunklen Lords, um es für jeden zu verwenden!?"""
370,"""Falsch! Ich will das Geheimnis der Unsterblichkeit des Dunklen Lords, um es für alle zu nutzen!?"""
371,"Tack, knack, knister..."
371,"Tick, crackle, fzzzt..."
372,"Albus Percival Wulfric Brian Dumbledore just stand idiotisch mit offenem Mund da, und starrte Harry an"
372,Albus Percival Wulfric Brian Dumbledore stand einfach nur da und starrte Harry mit offenem Mund stumm an.
375,"Der alte Zauberer sagte"" nein"" und schüttelte seinen Kopf"
375,"""Nein"", sagte der alte Zauberer und schüttelte den Kopf."
379,Das Gesicht des alten Zauberers war vor Zorn und Sorge angespannt.
379,Das Gesicht des alten Zauberers war angespannt vor Wut und Sorge.
380,",,Voldemort stahl das Buch, durch welches er das Geheimnis herausbekam; als ich danach suchte war es nicht dort."
380,"""Voldemort hat das Buch gestohlen, aus dem er sein Geheimnis entnommen hat; es war nicht mehr da, als ich danach suchte."
383,"""Nun ja, offensichtlich werde ich keine Unsterblichkeitsmethode verbreiten, welche das Töten von Menschen voraussetzt!"
383,"""Natürlich werde ich keine Unsterblichkeitsmethode propagieren, die das Töten von Menschen erfordert!"
387,"""Du würdest keinen Ritual nehmen, der Menschenopferung braucht."""
387,"""Sie würden kein Ritual anwenden, das Menschenopfer erfordert."""
390,"Du bist derjenige, der denkt, der Tod sei beeindruckend und dass jederman sterben sollte!"""
390,"Du bist derjenige, der denkt, dass der Tod großartig ist und dass jeder sterben sollte!"""
391,"""Ich weiß nicht mehr weiter, Harry"", sagte der alte Zauberer."
391,"""Ich bin ratlos, Harry"", sagte der alte Zauberer."
392,"Seine Füße begannen nun wieder, sein kurioses Büro zu durchschreiten."
392,Seine Füße stapften wieder durch sein seltsames Büro.
393,"Ich habe keine Ahnung, was ich sagen soll"
393,"""Ich weiß nicht, was ich sagen soll."""
395,",,Dass ich von dir so falsch verstanden werde..."
395,"""Nur, dass ich von Ihnen sehr missverstanden werde..."
397,",,Du willst einfach nicht, dass irgendwer unsterblich ist"", sagte Harry mit merkbarer Ironie."
397,"""Du willst nur nicht, dass jemand unsterblich ist"", sagte Harry mit viel Ironie."
399,Der alte Zauberer nickte.
399,Der alte Zauberer nickte.
400,"""Ich habe nicht mehr dieselbe Angst wie vorher, jedoch bin ich immer noch sehr besorgt um dich, Harry"", sagte er leise."
400,"""Ich habe weniger Angst als früher, aber ich mache mir immer noch große Sorgen um dich, Harry"", sagte er leise."
401,"Seine Hand, ein wenig runzlig vom Zeichen der Zeit und doch noch stark, platzierte die Kristallkugel wieder fest in ihrem Halter."
401,"Seine von der Zeit etwas geschwächte, aber immer noch kräftige Hand legte die Kristallkugel fest in ihren Ständer zurück."
402,"""Denn die Angst vor dem Tod ist eine bittere Sache, eine Krankheit der Seele, durch die Menschen verdreht und verformt werden."
402,"""Denn die Angst vor dem Tod ist eine bittere Sache, eine Krankheit der Seele, die den Menschen verdreht und entstellt."
405,"Sagte Harry, ohne überhaupt den Versuch zu begehen, die Ungläubigkeit in seiner Stimme zu überspielen."
405,"sagte Harry und versuchte nicht einmal, die Ungläubigkeit in seiner Stimme zu verbergen."
406,Das Gesicht des alten Zauberers war friedvoll.
406,Das Gesicht des alten Zauberers war friedlich.
407,",,Ich bin nicht perfekt, Harry, aber ich glaube, ich habe den Tod als einen Teil von mir selbst akzeptiert."""
